video_id,comment_text,like_count
-rYdWF9Ky2U,😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,Aguardando Priscila Evelyn e os 10 homens,0
-rYdWF9Ky2U,Julio balestrin no podpaqueraaaaaaaaaaa POR FAVOR,0
-rYdWF9Ky2U,Simplesmente perfeito,0
-rYdWF9Ky2U,Julio balestreni,0
-rYdWF9Ky2U,"Super amei esse episódio, Manoel Gomes é 10ize",0
-rYdWF9Ky2U,😂😂😂😂😂,0
-rYdWF9Ky2U,28:21 Tem uma coisa brilhando no meio do fiofó ali ein rapeize,0
-rYdWF9Ky2U,Manuel Gomes é um npc,0
-rYdWF9Ky2U,Eu morrendo de rirrr😂,0
-rYdWF9Ky2U,Tá muito bonitinho essa abertura!! Parabéns ao time criativo 🫶🏼,9
-rYdWF9Ky2U,Eu fecho os olhos né 😂,0
-rYdWF9Ky2U,Você dorme cedo 😂😂😂😂😂,0
-rYdWF9Ky2U,"1:04:45 mommy issues, percebemos quE há algum conflito intrinseco nessa cena( por causa de uma molher bandida)",0
-rYdWF9Ky2U,56:26 manoel de t1c0 dur0,0
-rYdWF9Ky2U,"'vim da cor da sua caneta""",0
-rYdWF9Ky2U,"1:01:55 "" Tá muito reto, parece um defunto"" 😂😂😂",2
-rYdWF9Ky2U,"Pós pronto, 😂😂",0
-rYdWF9Ky2U,"Tomando café , quase morri engasgado com café assistindo esse quadro mano akkakakakakakakakakakkakakakakak pqp",0
-rYdWF9Ky2U,😂😂😂😂😂😂 tá muito engraçado,0
-rYdWF9Ky2U,bom dms,0
-rYdWF9Ky2U,Você dorme cedo?,1
-rYdWF9Ky2U,Ameii,0
-rYdWF9Ky2U,Mano mamau é o melhor mesmo 😅😅😅,0
-rYdWF9Ky2U,Sério q essas mulheres se interessaram nele?😂,0
-rYdWF9Ky2U,"Tragam mais jovens senhoras, as novinhas não estão com nada. Trouxeram muito entretenimento. 🤣🤣",1
-rYdWF9Ky2U,😂😂😂😂😂😂😂,0
-rYdWF9Ky2U,Que cara comédia 😂😂😂😂,0
-rYdWF9Ky2U,júlio balestrin pfv🙏,1
-rYdWF9Ky2U,Você gosta de dormir cedo? 😂,0
-rYdWF9Ky2U,41:54 do nada virou um show do cleiton rasta,0
-rYdWF9Ky2U,Tiringa no pod paquera,0
-rYdWF9Ky2U,Esse foi oq eu mais dei risada 😂😂😂😂😂😂😂😂😂😂,1
-rYdWF9Ky2U,😂😂😂😂 muito  bom,0
-rYdWF9Ky2U,KSKSKSKSK,0
-rYdWF9Ky2U,Melhor vídeo do anooo,0
-rYdWF9Ky2U,Casquei muito 😂😂😂😂😂😂,0
-rYdWF9Ky2U,Um dos melhores vídeo dos últimos tempos,1
-rYdWF9Ky2U,brino ta em todoooooooooooooooooooo lugar mdssssssssssssssssss,0
-rYdWF9Ky2U,Kkkkkkkkm😂😂😂😂😂 Minha gente que programa,0
-rYdWF9Ky2U,Muito bom,0
-rYdWF9Ky2U,Julio balestrin,0
-rYdWF9Ky2U,"Vou processar vocês, que fizeram isso, até agora estou morrendo de rir 😅😅😅😅",2
-rYdWF9Ky2U,"muito bom mano, ri do começo ao fim 😂😂😂",1
-rYdWF9Ky2U,Júlio balestrin,0
-rYdWF9Ky2U,Ele tava casado ue,0
-rYdWF9Ky2U,Foi o melhor pprt kkk,0
-rYdWF9Ky2U,Mc ig,2
-rYdWF9Ky2U,Vc e solteira ksksksk,0
-rYdWF9Ky2U,Tiringaaaaa,2
-rYdWF9Ky2U,hahah eu ri mt,0
-rYdWF9Ky2U,Kskskskskkskks,0
-rYdWF9Ky2U,Patrimônio brasileiro esse vídeo 🤣,1
-rYdWF9Ky2U,😂😂😂😂😂😂,0
-rYdWF9Ky2U,Moça de azul precisa ser fixa,2
-rYdWF9Ky2U,que programa incrível 🤣🤣🤣🤣,0
-rYdWF9Ky2U,Quero saber se ela e soltera 😂😂,4
-rYdWF9Ky2U,Muito bom makakakakakkak,1
-rYdWF9Ky2U,Ngc daddyy,1
-rYdWF9Ky2U,MELHOR VÍDEO DO ANO😂,0
-rYdWF9Ky2U,Raphael séria uma boa,0
