playlist_title,video_id,title,views,likes,comments,published_at,duration,thumbnail
QUEBRADA F.C.,jRLjQeacvDs,CHILE 1 X 2 BRASIL - PÓS-JOGO - QUEBRADA FC #78,33653,1485,6,2024-10-11T04:00:39Z,PT1H30M46S,https://i.ytimg.com/vi/jRLjQeacvDs/hqdefault.jpg
QUEBRADA F.C.,HDTmtXw0V2A,FLAMENGO 1 X 0 CORINTHIANS - PÓS-JOGO - QUEBRADA FC #77,25651,1466,3,2024-10-03T04:20:18Z,PT1H23M46S,https://i.ytimg.com/vi/HDTmtXw0V2A/hqdefault.jpg
QUEBRADA F.C.,B_-02K5GAG0,CORINTHIANS 3 X 0 FORTALEZA - PÓS-JOGO ft CRISTIAN  - QUEBRADA FC #76,68725,3687,12,2024-09-25T04:13:11Z,PT1H34M21S,https://i.ytimg.com/vi/B_-02K5GAG0/hqdefault.jpg
QUEBRADA F.C.,rdLhfS8xXP8,BOTAFOGO 0 X 0 SÃO PAULO - LIVE PÓS-JOGO ft GABRIEL GUBELA  - QUEBRADA FC #75,26733,1605,8,2024-09-19T04:01:03Z,PT1H23M55S,https://i.ytimg.com/vi/rdLhfS8xXP8/hqdefault.jpg
QUEBRADA F.C.,LEMXzNuBySw,GALO PASSA E ELIMINA SÃO PAULO DA COPA DO BRASIL ft. RACHA - PÓS-JOGO QUEBRADA FC #75,35591,2042,22,2024-09-13T04:25:25Z,PT1H21M16S,https://i.ytimg.com/vi/LEMXzNuBySw/hqdefault.jpg
QUEBRADA F.C.,7xobAEjNI_o,CORINTHIANS TEM CLASSIFICAÇÃO HEROICA EM ITAQUERA - PÓS-JOGO + COLETIVA - QUEBRADA FC #74,86968,4696,10,2024-09-12T04:12:20Z,PT1H33M25S,https://i.ytimg.com/vi/7xobAEjNI_o/hqdefault.jpg
QUEBRADA F.C.,CiQqQ4tC9ks,SÃO PAULO 0 X 1 ATLÉTICO-MG - LIVE PÓS JOGO + COLETIVA - QUEBRADA FC #73,27133,1503,10,2024-08-29T04:06:06Z,PT1H17M35S,https://i.ytimg.com/vi/CiQqQ4tC9ks/hqdefault.jpg
QUEBRADA F.C.,6wZL01qLZ8g,BOTAFOGO ELIMINA O PALMEIRAS DA LIBERTADORES ft. BRABO GORDINHO & MATHEUS - QUEBRADA FC #72,43016,2900,24,2024-08-22T03:55:58Z,PT1H8M21S,https://i.ytimg.com/vi/6wZL01qLZ8g/hqdefault.jpg
QUEBRADA F.C.,xvc0S5fgbBU,QUEM LEVA A BOLA DE OURO E CORINTHIANS VENDIDO? ft. LUCAS INUTILISMO E MC KEKEL - QUEBRADA FC #71,65057,3210,20,2024-07-15T21:30:16Z,PT2H3M56S,https://i.ytimg.com/vi/xvc0S5fgbBU/hqdefault.jpg
QUEBRADA F.C.,WXWwrhUg7Xc,"DUDU NO FLAMENGO, GABIGOL NO PALMEIRAS E BRASIL ELIMINADO ft. BIG MIKE E APOLLO - QUEBRADA FC #70",54207,3022,19,2024-07-08T21:23:44Z,PT2H9M25S,https://i.ytimg.com/vi/WXWwrhUg7Xc/hqdefault.jpg
